"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:06:39 CST 2019","Thu Oct 24 18:06:41 CST 2019","1453","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_1查看第一条记录的时间是否正确",""
"passed","Thu Oct 24 17:51:46 CST 2019","Thu Oct 24 17:52:24 CST 2019","37249","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-预约取款记录","Test_现金管理_智多鑫_更多_预约记录测试用例","","","test_0点击更多选中预约记录查看页面跳转是否正确",""
"passed","Thu Oct 24 17:56:16 CST 2019","Thu Oct 24 17:56:52 CST 2019","35419","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-预约取款","Test_现金管理_智多鑫_预约取款用例","","","test_0进入预约管理页面","进入预约管理页面"
"passed","Thu Oct 24 17:47:41 CST 2019","Thu Oct 24 17:47:45 CST 2019","3991","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_03中信建投证券智多鑫应急取款协议","中信建投证券智多鑫应急取款协议"
"passed","Thu Oct 24 18:06:02 CST 2019","Thu Oct 24 18:06:39 CST 2019","37363","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_0点击更多选中预约记录查看页面跳转是否正确",""
"passed","Thu Oct 24 18:06:41 CST 2019","Thu Oct 24 18:06:42 CST 2019","777","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_3查看第一条记录的状态是否正确",""
"passed","Thu Oct 24 18:18:59 CST 2019","Thu Oct 24 18:19:03 CST 2019","3934","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_11预约取款规则校验","预约取款规则校验"
"passed","Thu Oct 24 18:10:46 CST 2019","Thu Oct 24 18:10:51 CST 2019","4411","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约2-协议阅读","Test_现金管理_添鑫宝_签约2_协议阅读","","","test_2查看风险揭示书","查看风险揭示书"
"passed","Thu Oct 24 18:06:47 CST 2019","Thu Oct 24 18:06:52 CST 2019","4791","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_6确定点击取消操作","点击取消操作后，确认框点击确定按钮"
"passed","Thu Oct 24 18:10:42 CST 2019","Thu Oct 24 18:10:46 CST 2019","3869","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约2-协议阅读","Test_现金管理_添鑫宝_签约2_协议阅读","","","test_1查看产品合同","查看产品合同"
